area_code,area_name,indicator,period,measure,unit,value
E05000819,Altrincham,"Flat, maisonette or apartment",2011,percentage,households,29.3
E05000820,Ashton upon Mersey,"Flat, maisonette or apartment",2011,percentage,households,20.1
E05000821,Bowdon,"Flat, maisonette or apartment",2011,percentage,households,28.5
E05000822,Broadheath,"Flat, maisonette or apartment",2011,percentage,households,15.5
E05000823,Brooklands,"Flat, maisonette or apartment",2011,percentage,households,19.8
E05000824,Bucklow-St Martins,"Flat, maisonette or apartment",2011,percentage,households,15.7
E05000825,Clifford,"Flat, maisonette or apartment",2011,percentage,households,35.1
E05000826,Davyhulme East,"Flat, maisonette or apartment",2011,percentage,households,6
E05000827,Davyhulme West,"Flat, maisonette or apartment",2011,percentage,households,6.4
E05000828,Flixton,"Flat, maisonette or apartment",2011,percentage,households,10.7
E05000829,Gorse Hill,"Flat, maisonette or apartment",2011,percentage,households,20.8
E05000830,Hale Barns,"Flat, maisonette or apartment",2011,percentage,households,9.6
E05000831,Hale Central,"Flat, maisonette or apartment",2011,percentage,households,15.3
E05000832,Longford,"Flat, maisonette or apartment",2011,percentage,households,24.6
E05000833,Priory,"Flat, maisonette or apartment",2011,percentage,households,34.6
E05000834,St Mary's,"Flat, maisonette or apartment",2011,percentage,households,18.3
E05000835,Sale Moor,"Flat, maisonette or apartment",2011,percentage,households,15.4
E05000836,Stretford,"Flat, maisonette or apartment",2011,percentage,households,24.3
E05000837,Timperley,"Flat, maisonette or apartment",2011,percentage,households,6.8
E05000838,Urmston,"Flat, maisonette or apartment",2011,percentage,households,23.8
E05000839,Village,"Flat, maisonette or apartment",2011,percentage,households,19.5
